Vivado Simulator 2016.1
Time resolution is 1 ps
temp_low=0, temp_high=0, auto_temp=0, manual_heat=0, manual_cool=0, manual_fan=0, heater_on=0,cooler_on=0,fan_on=0
temp_low=1, temp_high=0, auto_temp=0, manual_heat=0, manual_cool=0, manual_fan=0, heater_on=0,cooler_on=0,fan_on=0
temp_low=1, temp_high=1, auto_temp=0, manual_heat=0, manual_cool=0, manual_fan=0, heater_on=0,cooler_on=0,fan_on=0
temp_low=1, temp_high=1, auto_temp=1, manual_heat=0, manual_cool=0, manual_fan=0, heater_on=1,cooler_on=1,fan_on=1
temp_low=1, temp_high=1, auto_temp=1, manual_heat=1, manual_cool=0, manual_fan=0, heater_on=1,cooler_on=1,fan_on=1
temp_low=1, temp_high=1, auto_temp=1, manual_heat=1, manual_cool=1, manual_fan=0, heater_on=1,cooler_on=1,fan_on=1
temp_low=1, temp_high=1, auto_temp=1, manual_heat=1, manual_cool=1, manual_fan=1, heater_on=1,cooler_on=1,fan_on=1
temp_low=1, temp_high=0, auto_temp=1, manual_heat=1, manual_cool=1, manual_fan=1, heater_on=1,cooler_on=1,fan_on=1
temp_low=1, temp_high=0, auto_temp=1, manual_heat=1, manual_cool=0, manual_fan=1, heater_on=1,cooler_on=0,fan_on=1
temp_low=1, temp_high=0, auto_temp=1, manual_heat=1, manual_cool=0, manual_fan=0, heater_on=1,cooler_on=0,fan_on=1
temp_low=0, temp_high=0, auto_temp=1, manual_heat=1, manual_cool=0, manual_fan=0, heater_on=1,cooler_on=0,fan_on=1
temp_low=0, temp_high=1, auto_temp=1, manual_heat=1, manual_cool=0, manual_fan=0, heater_on=1,cooler_on=1,fan_on=1
temp_low=0, temp_high=1, auto_temp=0, manual_heat=1, manual_cool=0, manual_fan=0, heater_on=1,cooler_on=0,fan_on=1
temp_low=0, temp_high=1, auto_temp=0, manual_heat=0, manual_cool=0, manual_fan=0, heater_on=0,cooler_on=0,fan_on=0
temp_low=0, temp_high=1, auto_temp=0, manual_heat=0, manual_cool=1, manual_fan=0, heater_on=0,cooler_on=1,fan_on=1
temp_low=0, temp_high=1, auto_temp=0, manual_heat=0, manual_cool=1, manual_fan=1, heater_on=0,cooler_on=1,fan_on=1
temp_low=0, temp_high=0, auto_temp=0, manual_heat=0, manual_cool=0, manual_fan=0, heater_on=0,cooler_on=0,fan_on=0
temp_low=0, temp_high=0, auto_temp=0, manual_heat=0, manual_cool=0, manual_fan=0, heater_on=0,cooler_on=0,fan_on=0
temp_low=0, temp_high=0, auto_temp=0, manual_heat=0, manual_cool=0, manual_fan=0, heater_on=0,cooler_on=0,fan_on=0
temp_low=1, temp_high=0, auto_temp=0, manual_heat=0, manual_cool=0, manual_fan=0, heater_on=0,cooler_on=0,fan_on=0
temp_low=1, temp_high=1, auto_temp=0, manual_heat=0, manual_cool=0, manual_fan=0, heater_on=0,cooler_on=0,fan_on=0
temp_low=1, temp_high=1, auto_temp=1, manual_heat=0, manual_cool=0, manual_fan=0, heater_on=1,cooler_on=1,fan_on=1
temp_low=1, temp_high=1, auto_temp=1, manual_heat=1, manual_cool=0, manual_fan=0, heater_on=1,cooler_on=1,fan_on=1
temp_low=1, temp_high=1, auto_temp=1, manual_heat=1, manual_cool=1, manual_fan=0, heater_on=1,cooler_on=1,fan_on=1
temp_low=1, temp_high=1, auto_temp=1, manual_heat=1, manual_cool=1, manual_fan=1, heater_on=1,cooler_on=1,fan_on=1
temp_low=1, temp_high=0, auto_temp=1, manual_heat=1, manual_cool=1, manual_fan=1, heater_on=1,cooler_on=1,fan_on=1
temp_low=1, temp_high=0, auto_temp=1, manual_heat=1, manual_cool=0, manual_fan=1, heater_on=1,cooler_on=0,fan_on=1
temp_low=1, temp_high=0, auto_temp=1, manual_heat=1, manual_cool=0, manual_fan=0, heater_on=1,cooler_on=0,fan_on=1
temp_low=0, temp_high=0, auto_temp=1, manual_heat=1, manual_cool=0, manual_fan=0, heater_on=1,cooler_on=0,fan_on=1
temp_low=0, temp_high=1, auto_temp=1, manual_heat=1, manual_cool=0, manual_fan=0, heater_on=1,cooler_on=1,fan_on=1
temp_low=0, temp_high=1, auto_temp=0, manual_heat=1, manual_cool=0, manual_fan=0, heater_on=1,cooler_on=0,fan_on=1
